CustomerID,CustomerSegment,Team_Affiliation,CustomerLifetimeValue
10001,Online Shopper,Tigers,1698.78
10002,Casual Fan,Lions,595.09
10003,Online Shopper,Sharks,502.65
10004,Online Shopper,Tigers,2975.62
10005,Loyal Fan,Tigers,1359.28
10006,Season Ticket Holder,Warriors,3787.16
10007,Online Shopper,Bulls,936.97
10008,Online Shopper,Sharks,2751.44
10009,Loyal Fan,Eagles,3243.8
10010,Casual Fan,Eagles,740.26
10011,Casual Fan,Sharks,1437.59
10012,Season Ticket Holder,Eagles,2369.48
10013,Casual Fan,Bulls,1351.14
10014,Online Shopper,Lions,463.15
10015,Casual Fan,Warriors,647.58
10016,Loyal Fan,Eagles,972.82
10017,Casual Fan,Bulls,1498.56
10018,Loyal Fan,Tigers,3726.05
10019,Online Shopper,Sharks,1878.96
10020,Casual Fan,Lions,404.98
10021,Online Shopper,Warriors,1047.3
10022,Casual Fan,Tigers,729.36
10023,Season Ticket Holder,Lions,4259.46
10024,Online Shopper,Eagles,357.55
10025,Online Shopper,Sharks,2071.89
10026,Loyal Fan,Eagles,2762.97
10027,Casual Fan,Sharks,1366.03
10028,Loyal Fan,Bulls,2325.93
10029,Loyal Fan,Warriors,1903.07
10030,Online Shopper,Sharks,1681.1
10031,Online Shopper,Lions,825.68
10032,Season Ticket Holder,Warriors,6378.78
10033,Casual Fan,Lions,1178.05
10034,Casual Fan,Eagles,314.85
10035,Casual Fan,Warriors,545.74
10036,Loyal Fan,Eagles,3576.96
10037,Loyal Fan,Warriors,2417.7
10038,Casual Fan,Warriors,844.57
10039,Loyal Fan,Lions,3111.71
10040,Online Shopper,Lions,1860.31
10041,Casual Fan,Lions,197.41
10042,Online Shopper,Warriors,2470.7
10043,Online Shopper,Lions,2791.66
10044,Casual Fan,Warriors,174.59
10045,Online Shopper,Warriors,627.37
10046,Online Shopper,Tigers,2195.33
10047,Casual Fan,Sharks,946.26
10048,Loyal Fan,Bulls,2024.05
10049,Online Shopper,Bulls,1755.97
10050,Loyal Fan,Warriors,3050.68
10051,Loyal Fan,Eagles,2414.32
10052,Loyal Fan,Bulls,1248.6
10053,Online Shopper,Eagles,541.48
10054,Online Shopper,Bulls,1484.92
10055,Online Shopper,Tigers,2791.79
10056,Online Shopper,Eagles,1806.0
10057,Casual Fan,Warriors,601.51
10058,Casual Fan,Tigers,1372.19
10059,Loyal Fan,Tigers,2043.62
10060,Loyal Fan,Lions,2429.27
10061,Online Shopper,Sharks,614.55
10062,Casual Fan,Lions,1132.36
10063,Casual Fan,Eagles,1080.42
10064,Online Shopper,Bulls,2444.46
10065,Casual Fan,Sharks,555.27
10066,Casual Fan,Lions,710.47
10067,Casual Fan,Eagles,335.68
10068,Casual Fan,Warriors,1450.31
10069,Loyal Fan,Bulls,1075.45
10070,Casual Fan,Sharks,1008.62
10071,Loyal Fan,Eagles,3056.82
10072,Casual Fan,Tigers,320.83
10073,Online Shopper,Eagles,1286.37
10074,Loyal Fan,Bulls,938.01
10075,Loyal Fan,Sharks,2581.15
10076,Loyal Fan,Bulls,3983.8
10077,Loyal Fan,Tigers,2175.63
10078,Online Shopper,Sharks,2973.02
10079,Casual Fan,Warriors,276.72
10080,Online Shopper,Tigers,1359.63
10081,Online Shopper,Lions,2735.31
10082,Casual Fan,Warriors,1327.37
10083,Online Shopper,Sharks,1173.7
10084,Loyal Fan,Bulls,2971.55
10085,Loyal Fan,Lions,3635.71
10086,Loyal Fan,Tigers,3254.01
10087,Online Shopper,Tigers,1996.89
10088,Casual Fan,Bulls,313.61
10089,Loyal Fan,Bulls,1033.61
10090,Casual Fan,Tigers,960.47
10091,Loyal Fan,Eagles,2400.88
10092,Online Shopper,Warriors,942.7
10093,Casual Fan,Eagles,509.88
10094,Casual Fan,Eagles,648.92
10095,Casual Fan,Warriors,793.73
10096,Casual Fan,Tigers,646.36
10097,Casual Fan,Warriors,642.21
10098,Loyal Fan,Lions,1170.34
10099,Loyal Fan,Bulls,3569.89
10100,Season Ticket Holder,Eagles,6264.08
10101,Season Ticket Holder,Tigers,3022.72
10102,Online Shopper,Bulls,1444.46
10103,Loyal Fan,Bulls,2133.49
10104,Season Ticket Holder,Eagles,6204.35
10105,Online Shopper,Tigers,1943.95
10106,Online Shopper,Tigers,2042.1
10107,Casual Fan,Eagles,1077.06
10108,Loyal Fan,Eagles,1130.73
10109,Loyal Fan,Eagles,1775.75
10110,Season Ticket Holder,Tigers,2121.43
10111,Casual Fan,Sharks,736.5
10112,Loyal Fan,Lions,2174.18
10113,Casual Fan,Sharks,1128.06
10114,Casual Fan,Lions,333.96
10115,Loyal Fan,Bulls,2820.78
