ProductID,InventoryUnits,UnitsSold,SellThroughRatePct
P00001,90,55,61.11
P00002,206,146,70.87
P00003,373,249,66.76
P00004,239,143,59.83
P00005,125,60,48.0
P00006,493,308,62.47
P00007,139,102,73.38
P00008,87,45,51.72
P00009,221,57,25.79
P00010,100,26,26.0
P00011,316,195,61.71
P00012,245,182,74.29
P00013,466,110,23.61
P00014,126,92,73.02
P00015,170,47,27.65
P00016,358,132,36.87
P00017,364,251,68.96
P00018,212,154,72.64
P00019,464,217,46.77
P00020,430,309,71.86
P00021,325,210,64.62
P00022,386,256,66.32
P00023,291,193,66.32
P00024,261,92,35.25
P00025,295,35,11.86
P00026,430,89,20.7
P00027,57,8,14.04
P00028,95,24,25.26
P00029,263,36,13.69
P00030,311,87,27.97
P00031,130,63,48.46
P00032,322,62,19.25
P00033,61,19,31.15
P00034,160,39,24.38
P00035,256,41,16.02
P00036,72,39,54.17
P00037,335,228,68.06
P00038,290,164,56.55
P00039,304,166,54.61
P00040,281,208,74.02
P00041,361,208,57.62
P00042,344,45,13.08
P00043,347,84,24.21
P00044,145,75,51.72
P00045,359,185,51.53
P00046,130,83,63.85
P00047,59,12,20.34
P00048,490,362,73.88
P00049,130,57,43.85
P00050,101,71,70.3
P00051,186,83,44.62
P00052,499,111,22.24
P00053,438,144,32.88
P00054,373,91,24.4
P00055,134,36,26.87
P00056,333,226,67.87
P00057,424,146,34.43
P00058,202,44,21.78
P00059,166,56,33.73
P00060,440,221,50.23
P00061,109,25,22.94
P00062,459,61,13.29
P00063,265,177,66.79
P00064,374,96,25.67
P00065,217,154,70.97
P00066,369,48,13.01
P00067,466,244,52.36
P00068,271,144,53.14
P00069,145,29,20.0
P00070,85,45,52.94
P00071,466,164,35.19
P00072,499,174,34.87
P00073,343,230,67.06
P00074,56,40,71.43
P00075,448,94,20.98
P00076,272,148,54.41
P00077,155,31,20.0
P00078,215,26,12.09
P00079,473,93,19.66
P00080,399,204,51.13
P00081,318,182,57.23
P00082,381,164,43.04
P00083,431,310,71.93
P00084,332,198,59.64
P00085,191,39,20.42
P00086,83,20,24.1
P00087,105,51,48.57
P00088,156,49,31.41
P00089,395,40,10.13
P00090,92,11,11.96
P00091,107,39,36.45
P00092,490,216,44.08
P00093,230,121,52.61
P00094,107,64,59.81
P00095,442,323,73.08
P00096,485,313,64.54
P00097,276,91,32.97
P00098,100,45,45.0
P00099,332,80,24.1
P00100,438,320,73.06
P00101,484,217,44.83
P00102,308,81,26.3
P00103,474,270,56.96
P00104,424,177,41.75
P00105,122,91,74.59
P00106,335,50,14.93
P00107,349,111,31.81
P00108,395,281,71.14
P00109,289,116,40.14
P00110,378,114,30.16
P00111,312,154,49.36
P00112,167,89,53.29
P00113,267,43,16.1
P00114,470,126,26.81
P00115,429,129,30.07
P00116,339,88,25.96
P00117,194,68,35.05
P00118,140,44,31.43
P00119,178,102,57.3
P00120,187,92,49.2
P00121,482,183,37.97
P00122,289,66,22.84
P00123,225,84,37.33
P00124,446,97,21.75
P00125,216,155,71.76
P00126,408,87,21.32
P00127,338,222,65.68
P00128,185,93,50.27
P00129,482,302,62.66
P00130,359,243,67.69
P00131,495,308,62.22
P00132,50,24,48.0
P00133,176,48,27.27
P00134,199,105,52.76
P00135,353,36,10.2
P00136,427,147,34.43
P00137,104,68,65.38
P00138,118,56,47.46
P00139,353,95,26.91
P00140,209,142,67.94
P00141,364,40,10.99
P00142,50,34,68.0
P00143,285,169,59.3
P00144,60,12,20.0
P00145,478,67,14.02
P00146,115,83,72.17
P00147,130,19,14.62
P00148,95,70,73.68
P00149,149,56,37.58
P00150,270,89,32.96
P00151,327,171,52.29
P00152,455,192,42.2
P00153,445,157,35.28
P00154,88,45,51.14
P00155,242,79,32.64
P00156,441,54,12.24
P00157,124,79,63.71
P00158,350,152,43.43
P00159,242,132,54.55
P00160,126,60,47.62
P00161,77,38,49.35
P00162,180,44,24.44
P00163,50,35,70.0
P00164,137,54,39.42
P00165,296,207,69.93
P00166,405,253,62.47
P00167,277,157,56.68
P00168,376,150,39.89
P00169,83,10,12.05
P00170,186,57,30.65
P00171,346,184,53.18
P00172,74,23,31.08
P00173,312,51,16.35
P00174,125,55,44.0
P00175,238,48,20.17
P00176,333,100,30.03
P00177,493,210,42.6
P00178,90,16,17.78
P00179,297,51,17.17
P00180,291,69,23.71
P00181,78,38,48.72
P00182,325,230,70.77
P00183,83,21,25.3
P00184,359,204,56.82
P00185,143,32,22.38
P00186,106,54,50.94
P00187,82,16,19.51
P00188,256,166,64.84
P00189,156,91,58.33
P00190,258,140,54.26
P00191,453,50,11.04
P00192,425,274,64.47
P00193,387,77,19.9
P00194,260,116,44.62
P00195,100,60,60.0
P00196,233,119,51.07
P00197,59,37,62.71
P00198,105,59,56.19
P00199,185,109,58.92
P00200,362,107,29.56
P00201,404,140,34.65
P00202,328,140,42.68
P00203,166,80,48.19
P00204,372,204,54.84
P00205,498,230,46.18
P00206,345,194,56.23
P00207,392,78,19.9
P00208,443,158,35.67
P00209,372,258,69.35
P00210,444,107,24.1
P00211,183,35,19.13
P00212,188,110,58.51
P00213,128,29,22.66
P00214,132,52,39.39
P00215,298,168,56.38
P00216,466,193,41.42
P00217,149,102,68.46
P00218,370,248,67.03
P00219,84,36,42.86
P00220,486,352,72.43
P00221,286,83,29.02
P00222,273,69,25.27
P00223,211,113,53.55
P00224,483,228,47.2
P00225,238,63,26.47
P00226,105,36,34.29
P00227,303,76,25.08
P00228,315,80,25.4
P00229,385,130,33.77
P00230,273,191,69.96
P00231,175,112,64.0
P00232,51,22,43.14
P00233,493,202,40.97
P00234,136,16,11.76
P00235,207,83,40.1
P00236,119,60,50.42
P00237,155,94,60.65
P00238,77,26,33.77
P00239,203,142,69.95
P00240,476,308,64.71
P00241,150,23,15.33
P00242,484,332,68.6
P00243,335,82,24.48
P00244,451,316,70.07
P00245,329,168,51.06
P00246,494,182,36.84
P00247,298,114,38.26
P00248,423,197,46.57
P00249,66,43,65.15
P00250,469,302,64.39
P00251,58,21,36.21
P00252,138,90,65.22
P00253,382,155,40.58
P00254,165,61,36.97
P00255,68,18,26.47
P00256,437,279,63.84
P00257,280,141,50.36
P00258,265,101,38.11
P00259,192,102,53.12
P00260,372,245,65.86
P00261,191,44,23.04
P00262,302,107,35.43
P00263,108,37,34.26
P00264,187,28,14.97
P00265,62,20,32.26
P00266,178,106,59.55
P00267,221,58,26.24
P00268,386,242,62.69
P00269,420,303,72.14
P00270,289,71,24.57
P00271,466,171,36.7
P00272,211,39,18.48
P00273,272,150,55.15
P00274,327,135,41.28
P00275,129,62,48.06
P00276,238,144,60.5
P00277,454,274,60.35
P00278,263,115,43.73
P00279,469,316,67.38
P00280,355,251,70.7
P00281,126,64,50.79
P00282,256,32,12.5
P00283,214,129,60.28
P00284,477,324,67.92
P00285,201,93,46.27
P00286,268,149,55.6
P00287,360,119,33.06
P00288,482,206,42.74
P00289,295,183,62.03
P00290,431,289,67.05
P00291,102,18,17.65
P00292,450,50,11.11
P00293,143,49,34.27
P00294,393,139,35.37
P00295,290,175,60.34
P00296,322,34,10.56
P00297,91,54,59.34
P00298,289,130,44.98
P00299,88,49,55.68
P00300,298,128,42.95
P00301,232,142,61.21
P00302,140,54,38.57
P00303,270,88,32.59
P00304,146,75,51.37
P00305,87,34,39.08
P00306,65,19,29.23
P00307,203,141,69.46
P00308,385,219,56.88
P00309,309,70,22.65
P00310,106,62,58.49
P00311,249,66,26.51
P00312,311,118,37.94
P00313,155,37,23.87
P00314,112,19,16.96
P00315,161,58,36.02
P00316,79,36,45.57
P00317,159,47,29.56
P00318,290,43,14.83
P00319,410,108,26.34
P00320,442,115,26.02
P00321,352,170,48.3
P00322,210,60,28.57
P00323,470,210,44.68
P00324,463,188,40.6
P00325,211,58,27.49
P00326,54,31,57.41
P00327,245,131,53.47
P00328,259,140,54.05
P00329,354,135,38.14
P00330,116,35,30.17
P00331,295,143,48.47
P00332,192,139,72.4
P00333,272,104,38.24
P00334,60,32,53.33
P00335,287,111,38.68
P00336,65,46,70.77
P00337,433,118,27.25
P00338,370,147,39.73
P00339,464,195,42.03
P00340,344,197,57.27
P00341,490,279,56.94
P00342,143,83,58.04
P00343,52,30,57.69
P00344,455,184,40.44
P00345,346,70,20.23
P00346,359,239,66.57
P00347,180,56,31.11
P00348,201,35,17.41
P00349,355,65,18.31
P00350,233,98,42.06
P00351,84,32,38.1
P00352,181,96,53.04
P00353,222,110,49.55
P00354,423,72,17.02
P00355,204,60,29.41
P00356,272,186,68.38
P00357,319,191,59.87
P00358,110,73,66.36
P00359,311,36,11.58
P00360,140,97,69.29
P00361,445,294,66.07
P00362,183,72,39.34
P00363,187,101,54.01
P00364,231,64,27.71
P00365,212,112,52.83
P00366,316,196,62.03
P00367,375,155,41.33
P00368,483,57,11.8
P00369,449,166,36.97
P00370,167,95,56.89
P00371,321,179,55.76
P00372,197,82,41.62
P00373,412,305,74.03
P00374,60,11,18.33
P00375,497,101,20.32
P00376,217,58,26.73
P00377,385,240,62.34
P00378,353,210,59.49
P00379,215,129,60.0
P00380,483,324,67.08
P00381,170,66,38.82
P00382,383,118,30.81
P00383,467,229,49.04
P00384,103,38,36.89
P00385,462,204,44.16
P00386,450,86,19.11
P00387,220,79,35.91
P00388,427,174,40.75
P00389,52,8,15.38
P00390,135,101,74.81
P00391,388,48,12.37
P00392,470,328,69.79
P00393,106,16,15.09
P00394,371,244,65.77
P00395,96,44,45.83
P00396,402,92,22.89
P00397,453,113,24.94
P00398,256,84,32.81
P00399,95,59,62.11
P00400,140,27,19.29
P00401,278,72,25.9
P00402,409,225,55.01
P00403,283,141,49.82
P00404,264,99,37.5
P00405,320,45,14.06
P00406,485,225,46.39
P00407,405,101,24.94
P00408,119,59,49.58
P00409,138,38,27.54
P00410,209,154,73.68
P00411,171,83,48.54
P00412,380,179,47.11
P00413,496,319,64.31
P00414,307,229,74.59
P00415,450,273,60.67
P00416,244,119,48.77
P00417,359,237,66.02
P00418,365,79,21.64
P00419,182,109,59.89
P00420,380,206,54.21
P00421,290,135,46.55
P00422,309,205,66.34
P00423,163,91,55.83
P00424,193,109,56.48
P00425,436,301,69.04
P00426,328,182,55.49
P00427,108,29,26.85
P00428,295,65,22.03
P00429,328,142,43.29
P00430,408,103,25.25
P00431,433,240,55.43
P00432,344,223,64.83
P00433,55,16,29.09
P00434,273,189,69.23
P00435,142,83,58.45
P00436,58,43,74.14
P00437,465,107,23.01
P00438,125,50,40.0
P00439,160,83,51.88
P00440,201,120,59.7
P00441,259,179,69.11
P00442,320,217,67.81
P00443,189,48,25.4
P00444,406,152,37.44
P00445,120,68,56.67
P00446,481,89,18.5
P00447,435,315,72.41
P00448,319,187,58.62
P00449,71,45,63.38
P00450,377,260,68.97
P00451,366,79,21.58
P00452,329,123,37.39
P00453,176,92,52.27
P00454,243,154,63.37
P00455,236,137,58.05
P00456,324,58,17.9
P00457,198,103,52.02
P00458,230,67,29.13
P00459,458,167,36.46
P00460,254,190,74.8
P00461,317,64,20.19
P00462,459,77,16.78
P00463,475,174,36.63
P00464,303,200,66.01
P00465,169,35,20.71
P00466,95,14,14.74
P00467,436,162,37.16
P00468,285,146,51.23
P00469,304,61,20.07
P00470,478,298,62.34
P00471,217,141,64.98
P00472,95,42,44.21
P00473,353,42,11.9
P00474,487,212,43.53
P00475,126,30,23.81
P00476,494,193,39.07
P00477,293,174,59.39
P00478,302,41,13.58
P00479,481,48,9.98
P00480,199,37,18.59
P00481,385,50,12.99
P00482,53,14,26.42
P00483,352,128,36.36
P00484,56,34,60.71
P00485,51,6,11.76
P00486,224,74,33.04
P00487,217,153,70.51
P00488,402,191,47.51
P00489,451,287,63.64
P00490,474,196,41.35
P00491,330,54,16.36
P00492,119,26,21.85
P00493,351,208,59.26
P00494,269,178,66.17
P00495,288,116,40.28
P00496,275,116,42.18
P00497,447,175,39.15
P00498,221,25,11.31
P00499,483,78,16.15
P00500,292,217,74.32
P00501,359,46,12.81
P00502,466,152,32.62
P00503,416,228,54.81
P00504,247,93,37.65
P00505,141,104,73.76
P00506,112,14,12.5
P00507,213,142,66.67
P00508,349,65,18.62
P00509,409,95,23.23
P00510,64,28,43.75
P00511,257,171,66.54
P00512,473,175,37.0
P00513,419,122,29.12
P00514,472,170,36.02
P00515,480,77,16.04
P00516,91,59,64.84
P00517,356,247,69.38
P00518,297,160,53.87
P00519,264,103,39.02
P00520,408,204,50.0
P00521,470,216,45.96
P00522,259,35,13.51
P00523,341,122,35.78
P00524,265,140,52.83
P00525,336,219,65.18
P00526,486,162,33.33
P00527,415,262,63.13
P00528,153,91,59.48
P00529,440,310,70.45
P00530,286,213,74.48
P00531,312,40,12.82
P00532,101,39,38.61
P00533,250,151,60.4
P00534,186,118,63.44
P00535,89,14,15.73
P00536,432,214,49.54
P00537,108,74,68.52
P00538,372,92,24.73
P00539,385,125,32.47
P00540,325,116,35.69
P00541,428,153,35.75
P00542,101,47,46.53
P00543,57,8,14.04
P00544,432,262,60.65
P00545,132,24,18.18
P00546,184,116,63.04
P00547,360,40,11.11
P00548,290,177,61.03
P00549,140,46,32.86
P00550,155,82,52.9
P00551,426,92,21.6
P00552,284,128,45.07
P00553,465,137,29.46
P00554,302,31,10.26
P00555,348,199,57.18
P00556,203,38,18.72
P00557,63,45,71.43
P00558,277,126,45.49
P00559,378,38,10.05
P00560,232,166,71.55
P00561,437,81,18.54
P00562,363,233,64.19
P00563,277,87,31.41
P00564,294,138,46.94
P00565,152,98,64.47
P00566,445,59,13.26
P00567,76,41,53.95
P00568,72,14,19.44
P00569,402,227,56.47
P00570,61,12,19.67
P00571,279,32,11.47
