ProductID,Category,UnitPrice
P00001,Fan Merchandise,81.66
P00002,Training Gear,158.64
P00003,Footwear,189.97
P00004,Jerseys,119.36
P00005,Accessories,64.74
P00006,Jerseys,127.98
P00007,Accessories,25.57
P00008,Accessories,95.44
P00009,Fan Merchandise,61.33
P00010,Footwear,154.83
P00011,Accessories,32.03
P00012,Training Gear,39.75
P00013,Jerseys,181.59
P00014,Accessories,27.94
P00015,Footwear,53.27
P00016,Jerseys,145.71
P00017,Accessories,80.43
P00018,Jerseys,72.35
P00019,Fan Merchandise,27.1
P00020,Accessories,88.88
P00021,Training Gear,150.0
P00022,Training Gear,85.66
P00023,Jerseys,169.84
P00024,Footwear,97.49
P00025,Training Gear,117.86
P00026,Jerseys,135.8
P00027,Jerseys,177.27
P00028,Footwear,179.66
P00029,Fan Merchandise,32.74
P00030,Jerseys,76.67
P00031,Footwear,185.38
P00032,Accessories,13.28
P00033,Fan Merchandise,61.57
P00034,Jerseys,124.01
P00035,Fan Merchandise,17.5
P00036,Accessories,78.86
P00037,Jerseys,125.02
P00038,Jerseys,179.71
P00039,Footwear,77.55
P00040,Jerseys,55.33
P00041,Training Gear,36.53
P00042,Footwear,88.53
P00043,Training Gear,110.62
P00044,Footwear,105.28
P00045,Jerseys,72.15
P00046,Accessories,108.16
P00047,Training Gear,33.37
P00048,Footwear,103.92
P00049,Footwear,197.79
P00050,Accessories,75.26
P00051,Jerseys,101.37
P00052,Fan Merchandise,82.84
P00053,Training Gear,89.16
P00054,Footwear,41.46
P00055,Training Gear,18.88
P00056,Footwear,209.38
P00057,Training Gear,57.93
P00058,Training Gear,133.31
P00059,Fan Merchandise,15.18
P00060,Training Gear,38.86
P00061,Training Gear,139.66
P00062,Footwear,218.94
P00063,Footwear,49.35
P00064,Footwear,70.17
P00065,Accessories,82.29
P00066,Accessories,62.95
P00067,Accessories,50.6
P00068,Fan Merchandise,26.2
P00069,Accessories,104.54
P00070,Footwear,71.01
P00071,Jerseys,93.46
P00072,Training Gear,64.05
P00073,Jerseys,75.09
P00074,Jerseys,132.75
P00075,Footwear,101.44
P00076,Training Gear,104.31
P00077,Jerseys,108.34
P00078,Fan Merchandise,20.5
P00079,Footwear,197.07
P00080,Footwear,131.74
P00081,Fan Merchandise,35.5
P00082,Accessories,11.64
P00083,Fan Merchandise,55.64
P00084,Jerseys,168.46
P00085,Training Gear,110.31
P00086,Accessories,88.77
P00087,Training Gear,40.01
P00088,Footwear,214.91
P00089,Jerseys,85.64
P00090,Jerseys,93.68
P00091,Fan Merchandise,49.4
P00092,Fan Merchandise,12.38
P00093,Accessories,54.24
P00094,Footwear,75.23
P00095,Footwear,174.82
P00096,Footwear,176.4
P00097,Training Gear,105.43
P00098,Jerseys,116.14
P00099,Footwear,95.84
P00100,Jerseys,174.98
P00101,Footwear,131.28
P00102,Training Gear,88.5
P00103,Jerseys,71.45
P00104,Training Gear,49.01
P00105,Fan Merchandise,38.32
P00106,Accessories,79.89
P00107,Accessories,94.53
P00108,Fan Merchandise,84.48
P00109,Fan Merchandise,43.2
P00110,Footwear,121.58
P00111,Training Gear,126.78
P00112,Jerseys,101.58
P00113,Jerseys,133.38
P00114,Jerseys,153.17
P00115,Fan Merchandise,29.25
P00116,Jerseys,95.54
P00117,Jerseys,106.65
P00118,Footwear,143.98
P00119,Jerseys,94.21
P00120,Footwear,77.47
P00121,Training Gear,39.23
P00122,Jerseys,172.35
P00123,Training Gear,143.81
P00124,Fan Merchandise,78.04
P00125,Fan Merchandise,71.98
P00126,Training Gear,37.5
P00127,Jerseys,69.17
P00128,Accessories,59.92
P00129,Footwear,133.86
P00130,Footwear,171.91
P00131,Jerseys,87.32
P00132,Fan Merchandise,79.96
P00133,Training Gear,62.01
P00134,Jerseys,138.78
P00135,Fan Merchandise,75.09
P00136,Jerseys,130.9
P00137,Footwear,175.64
P00138,Footwear,174.82
P00139,Accessories,89.0
P00140,Accessories,91.1
P00141,Jerseys,111.91
P00142,Footwear,105.44
P00143,Accessories,90.35
P00144,Fan Merchandise,54.32
P00145,Footwear,149.39
P00146,Fan Merchandise,42.07
P00147,Accessories,30.16
P00148,Accessories,55.69
P00149,Footwear,214.54
P00150,Training Gear,59.3
P00151,Accessories,37.2
P00152,Jerseys,73.96
P00153,Training Gear,86.33
P00154,Training Gear,58.97
P00155,Fan Merchandise,62.16
P00156,Training Gear,37.19
P00157,Footwear,84.52
P00158,Fan Merchandise,16.52
P00159,Jerseys,61.01
P00160,Training Gear,133.61
P00161,Jerseys,186.35
P00162,Footwear,177.5
P00163,Jerseys,180.45
P00164,Fan Merchandise,18.32
P00165,Accessories,99.81
P00166,Fan Merchandise,46.02
P00167,Footwear,178.36
P00168,Footwear,150.84
P00169,Accessories,44.99
P00170,Jerseys,93.4
P00171,Fan Merchandise,20.62
P00172,Training Gear,76.6
P00173,Fan Merchandise,48.07
P00174,Jerseys,197.55
P00175,Accessories,13.73
P00176,Training Gear,101.8
P00177,Fan Merchandise,50.32
P00178,Fan Merchandise,13.67
P00179,Jerseys,102.81
P00180,Fan Merchandise,42.87
P00181,Footwear,128.97
P00182,Fan Merchandise,29.04
P00183,Training Gear,22.84
P00184,Training Gear,59.73
P00185,Footwear,190.55
P00186,Training Gear,132.72
P00187,Footwear,72.54
P00188,Accessories,74.63
P00189,Fan Merchandise,79.43
P00190,Accessories,27.21
P00191,Jerseys,73.66
P00192,Fan Merchandise,13.62
P00193,Fan Merchandise,24.59
P00194,Accessories,91.4
P00195,Accessories,91.4
P00196,Fan Merchandise,51.45
P00197,Jerseys,103.37
P00198,Footwear,185.22
P00199,Accessories,29.5
P00200,Fan Merchandise,22.21
P00201,Jerseys,67.94
P00202,Footwear,193.24
P00203,Training Gear,119.51
P00204,Training Gear,106.69
P00205,Accessories,82.75
P00206,Fan Merchandise,22.47
P00207,Training Gear,72.64
P00208,Accessories,91.41
