TransactionID,Date,CustomerID,ProductID,Region,Quantity,Revenue
1,2024-01-01,15247,P04848,East,4,395.69
2,2024-01-01,12397,P00816,West,4,163.01
3,2024-01-01,16218,P01460,South,1,186.66
4,2024-01-01,13866,P02125,North,2,66.68
5,2024-01-01,13795,P03162,North,3,297.0
6,2024-01-01,11820,P00465,West,3,111.83
7,2024-01-01,11707,P04948,East,4,45.8
8,2024-01-01,13174,P02350,North,1,74.9
9,2024-01-01,12553,P01900,North,5,332.69
10,2024-01-01,10514,P00828,West,5,541.61
11,2024-01-01,11090,P01117,South,4,326.53
12,2024-01-01,13980,P04703,West,5,469.21
13,2024-01-01,10725,P01441,North,5,392.34
14,2024-01-01,10797,P00918,South,3,266.75
15,2024-01-01,17048,P04985,North,1,98.75
16,2024-01-01,17293,P00272,North,5,173.19
17,2024-01-01,11192,P00916,North,2,121.94
18,2024-01-01,11683,P04345,North,2,327.11
19,2024-01-01,11428,P03654,West,5,54.07
20,2024-01-01,17292,P02038,South,1,67.37
21,2024-01-01,13368,P00594,North,5,420.5
22,2024-01-01,14875,P03110,North,3,358.05
23,2024-01-01,12145,P03417,North,5,843.65
24,2024-01-01,14854,P04550,West,2,184.88
25,2024-01-01,11906,P00932,East,3,109.7
26,2024-01-01,15514,P02516,North,3,221.69
27,2024-01-01,10018,P01565,East,3,178.4
28,2024-01-01,10844,P01406,North,2,351.48
29,2024-01-01,15642,P03367,South,1,109.99
30,2024-01-01,14886,P03855,North,1,114.47
31,2024-01-01,11836,P01802,North,5,165.16
32,2024-01-01,14961,P02981,East,5,203.62
33,2024-01-01,13741,P01966,South,1,96.49
34,2024-01-01,12142,P03055,East,4,533.21
35,2024-01-01,14144,P03811,North,5,318.83
36,2024-01-01,11726,P04632,West,5,363.44
37,2024-01-01,12085,P02212,West,5,346.03
38,2024-01-01,16250,P02565,East,4,192.51
39,2024-01-01,15682,P02998,North,3,161.93
40,2024-01-01,11763,P03693,South,1,22.13
41,2024-01-01,14885,P04121,West,4,268.68
42,2024-01-01,12390,P01842,East,4,279.57
43,2024-01-01,16813,P00673,East,3,71.86
44,2024-01-01,15293,P03686,East,3,170.19
45,2024-01-01,17250,P01560,West,5,410.71
46,2024-01-01,17783,P00523,East,2,110.76
47,2024-01-01,15648,P00614,South,4,587.58
48,2024-01-01,13334,P03127,East,5,843.64
49,2024-01-01,13003,P02229,East,5,332.57
50,2024-01-01,13703,P03630,North,1,158.17
51,2024-01-01,16469,P01880,West,5,56.34
52,2024-01-01,17295,P03373,North,4,175.61
53,2024-01-01,10829,P01779,North,1,32.84
54,2024-01-01,13661,P00490,West,3,169.86
55,2024-01-01,16631,P03394,North,5,622.77
56,2024-01-01,10431,P02341,West,3,432.03
57,2024-01-01,16931,P04663,West,1,16.54
58,2024-01-02,11380,P01979,East,1,118.46
59,2024-01-02,16727,P02990,South,2,292.49
60,2024-01-02,13870,P00471,South,2,153.3
61,2024-01-02,11227,P04469,South,3,271.86
62,2024-01-02,17326,P00810,North,2,238.48
63,2024-01-02,16321,P02840,North,5,110.77
64,2024-01-02,16891,P03296,North,1,77.45
65,2024-01-02,13600,P02426,West,5,373.94
66,2024-01-02,11836,P04802,North,4,319.35
67,2024-01-02,13957,P04055,East,3,395.69
68,2024-01-02,17357,P02876,West,3,174.62
69,2024-01-02,15211,P02501,South,2,110.28
70,2024-01-02,14798,P02299,West,3,363.9
71,2024-01-02,10573,P00547,East,5,263.04
72,2024-01-02,17133,P00743,West,2,105.24
73,2024-01-02,12337,P02568,South,3,174.73
74,2024-01-02,14847,P04610,West,1,59.13
75,2024-01-02,14413,P03740,North,4,228.67
76,2024-01-02,17013,P01180,North,2,109.27
77,2024-01-02,15542,P04660,West,2,317.82
78,2024-01-02,14691,P02261,North,4,305.59
79,2024-01-02,16416,P00519,East,5,251.19
80,2024-01-02,15178,P02826,West,3,51.35
81,2024-01-02,14420,P04169,South,1,143.55
82,2024-01-02,10465,P02108,West,5,289.25
83,2024-01-02,12669,P00366,West,2,206.45
84,2024-01-02,12715,P00615,North,4,782.35
85,2024-01-02,13731,P01410,West,4,306.83
86,2024-01-02,16665,P01136,South,4,129.29
87,2024-01-02,12114,P02072,North,1,223.57
88,2024-01-02,12982,P02777,South,4,306.24
89,2024-01-02,17736,P01020,East,4,339.68
90,2024-01-02,11633,P02232,East,1,88.16
91,2024-01-02,11439,P01962,North,2,128.47
92,2024-01-02,14286,P01213,East,4,621.26
93,2024-01-02,13910,P04096,South,3,109.11
94,2024-01-02,17485,P00185,East,2,346.64
95,2024-01-02,15524,P04891,South,4,594.1
96,2024-01-02,11922,P02864,South,1,130.53
97,2024-01-02,14027,P01205,West,1,137.43
98,2024-01-02,15190,P01616,East,4,300.78
99,2024-01-02,11328,P02530,West,3,584.2
100,2024-01-02,11329,P01981,South,2,23.95
101,2024-01-02,14149,P03048,South,1,56.12
102,2024-01-02,15082,P00774,North,5,145.22
103,2024-01-02,17573,P02680,North,4,96.72
104,2024-01-02,13226,P01108,North,1,28.8
105,2024-01-02,14650,P04951,North,2,272.67
106,2024-01-02,14698,P00020,North,3,246.52
107,2024-01-02,17371,P01457,South,5,350.67
108,2024-01-02,12828,P02323,North,2,116.17
109,2024-01-02,13012,P01991,North,2,183.5
110,2024-01-02,17704,P04390,West,2,133.76
111,2024-01-03,11671,P04064,West,4,265.99
112,2024-01-03,13935,P03411,North,1,122.49
113,2024-01-03,14700,P03636,East,1,79.12
114,2024-01-03,10004,P03137,North,4,119.01
115,2024-01-03,17966,P02256,North,1,116.03
116,2024-01-03,17783,P04791,West,3,105.0
117,2024-01-03,16460,P00319,South,1,105.72
118,2024-01-03,12897,P01011,West,2,150.62
119,2024-01-03,11465,P04738,East,1,68.86
120,2024-01-03,10959,P02676,North,3,313.6
121,2024-01-03,13615,P00265,South,2,71.35
122,2024-01-03,15767,P01652,East,2,71.66
123,2024-01-03,12607,P04049,North,5,832.85
124,2024-01-03,11384,P00045,West,3,221.14
125,2024-01-03,17794,P04020,South,1,90.56
126,2024-01-03,14569,P00879,East,1,55.39
127,2024-01-03,17402,P01156,South,4,556.62
128,2024-01-03,16615,P04023,East,1,64.88
129,2024-01-03,16111,P01627,South,5,354.71
130,2024-01-03,15657,P01051,East,4,158.28
131,2024-01-03,13537,P00833,East,1,92.8
132,2024-01-03,12777,P04045,North,1,59.88
133,2024-01-03,13832,P03693,West,2,42.98
134,2024-01-03,13306,P02040,West,1,103.08
135,2024-01-03,15651,P03580,West,5,274.18
136,2024-01-03,17590,P04774,North,3,434.66
137,2024-01-03,14849,P00912,West,1,50.8
138,2024-01-03,13068,P01321,South,4,323.76
139,2024-01-03,16925,P01495,South,1,218.85
140,2024-01-03,13935,P00552,East,4,139.92
141,2024-01-03,17787,P03479,South,3,508.78
142,2024-01-03,17792,P00924,West,1,197.08
143,2024-01-03,14345,P04435,East,3,405.67
144,2024-01-03,10625,P04030,South,1,44.95
145,2024-01-03,11472,P04705,North,5,578.37
146,2024-01-03,14203,P04235,West,2,143.59
147,2024-01-03,16297,P01985,South,4,750.54
148,2024-01-03,15189,P02401,North,5,586.12
149,2024-01-03,10068,P00415,North,1,178.36
150,2024-01-03,16962,P01751,West,5,693.28
151,2024-01-03,10663,P00537,South,4,225.79
152,2024-01-03,16112,P03367,West,3,350.35
153,2024-01-03,16909,P01347,North,2,104.43
154,2024-01-03,15472,P02898,North,2,137.71
155,2024-01-03,12262,P04062,West,4,80.72
156,2024-01-03,16993,P02321,South,3,214.52
157,2024-01-03,17148,P00146,North,4,170.51
158,2024-01-03,10064,P02160,East,3,136.0
159,2024-01-03,10796,P03061,East,3,309.59
160,2024-01-03,11453,P00014,East,3,83.75
161,2024-01-03,15764,P03862,East,5,653.85
162,2024-01-03,12030,P01688,North,3,245.33
163,2024-01-03,11411,P03700,East,1,62.58
164,2024-01-03,17637,P02570,North,2,182.07
165,2024-01-03,17299,P01421,East,4,119.06
166,2024-01-03,14410,P00875,East,1,47.97
167,2024-01-04,13164,P00543,North,1,56.05
168,2024-01-04,15150,P01749,North,1,17.36
169,2024-01-04,11940,P00088,South,5,1103.61
170,2024-01-04,10559,P01646,East,3,217.82
171,2024-01-04,12234,P00775,South,3,145.0
172,2024-01-04,11673,P01343,West,1,64.43
173,2024-01-04,10049,P02501,South,4,229.14
174,2024-01-04,12776,P00123,South,4,596.61
175,2024-01-04,12196,P02968,East,5,107.28
176,2024-01-04,17659,P03593,South,3,508.59
177,2024-01-04,11463,P01280,North,4,122.65
178,2024-01-04,13918,P04327,North,4,649.33
179,2024-01-04,14659,P02210,East,1,39.04
180,2024-01-04,15337,P02481,South,1,130.03
181,2024-01-04,13323,P02336,South,4,421.39
182,2024-01-04,10746,P03506,North,1,46.39
183,2024-01-04,14003,P04944,South,2,146.56
184,2024-01-04,16951,P00336,North,1,87.06
185,2024-01-04,10847,P02821,South,3,437.35
186,2024-01-04,12957,P04713,South,1,149.09
187,2024-01-04,10501,P00228,West,2,108.39
188,2024-01-04,17194,P02499,North,5,396.67
189,2024-01-04,11142,P01798,North,1,13.18
190,2024-01-04,12199,P02435,West,1,117.79
191,2024-01-04,13007,P01313,South,5,294.8
192,2024-01-04,15244,P03609,West,2,98.57
193,2024-01-04,14454,P04753,West,5,272.42
194,2024-01-04,12249,P03426,South,5,390.52
195,2024-01-04,17243,P02942,West,1,87.84
196,2024-01-04,10837,P01206,South,3,101.36
