TransactionID,Region,CustomerID,CustomerSegment,Team_Affiliation,ProductID,Category,Quantity,UnitPrice,Revenue,InventoryUnits,UnitsSold,SellThroughRatePct,CustomerLifetimeValue
1,East,3262,Loyal Fan,Sharks,P02804,Footwear,5,64.05,320.25,118,5,4.24,1802.82
2,West,9453,Casual Fan,Warriors,P04325,Footwear,3,13.02,39.06,153,3,1.96,810.04
3,North,4540,Casual Fan,Bulls,P03381,Jerseys,2,131.04,262.08,68,2,2.94,2260.49
4,East,8774,Online Shopper,Lions,P00636,Accessories,2,149.92,299.84,273,2,0.73,4511.13
5,East,9492,Loyal Fan,Bulls,P00744,Footwear,1,114.06,114.06,236,1,0.42,3866.28
6,West,3535,Season Ticket Holder,Sharks,P03947,Fan Merchandise,2,145.94,291.88,438,2,0.46,278.57
7,North,5262,Season Ticket Holder,Sharks,P04380,Jerseys,1,79.37,79.37,181,1,0.55,1037.91
8,North,1728,Casual Fan,Sharks,P03789,Accessories,1,91.43,91.43,497,1,0.2,3359.79
9,East,8889,Loyal Fan,Eagles,P00307,Training Gear,2,133.85,267.7,293,2,0.68,1177.58
10,South,2647,Casual Fan,Eagles,P04647,Training Gear,5,83.36,416.8,112,5,4.46,2099.3
11,East,1068,Loyal Fan,Sharks,P00228,Fan Merchandise,5,20.01,100.05,115,5,4.35,4620.93
12,East,4703,Season Ticket Holder,Sharks,P03959,Training Gear,3,113.38,340.14,108,3,2.78,4644.7
13,East,4416,Casual Fan,Lions,P01393,Fan Merchandise,1,29.46,29.46,373,1,0.27,1389.48
14,East,3044,Loyal Fan,Lions,P00514,Footwear,4,58.02,232.08,456,4,0.88,2960.51
15,West,7923,Season Ticket Holder,Warriors,P04281,Footwear,4,128.22,512.88,256,4,1.56,3537.48
16,North,4268,Loyal Fan,Warriors,P00927,Jerseys,2,48.87,97.74,468,2,0.43,1165.41
17,West,5224,Season Ticket Holder,Eagles,P01424,Jerseys,2,140.83,281.66,103,2,1.94,535.55
18,West,3076,Online Shopper,Tigers,P01658,Jerseys,4,124.13,496.52,243,4,1.65,1705.29
19,West,9160,Online Shopper,Lions,P04252,Jerseys,3,145.54,436.62,398,3,0.75,4794.23
20,East,3960,Loyal Fan,Warriors,P03999,Jerseys,1,24.68,24.68,391,1,0.26,4218.32
21,South,1098,Casual Fan,Lions,P02862,Jerseys,1,51.26,51.26,240,1,0.42,653.96
22,North,3742,Loyal Fan,Lions,P04346,Jerseys,2,120.77,241.54,456,2,0.44,4392.28
23,South,9904,Online Shopper,Bulls,P00171,Fan Merchandise,2,104.28,208.56,484,2,0.41,3342.8
24,West,8732,Casual Fan,Tigers,P00745,Jerseys,5,116.94,584.7,73,5,6.85,2520.85
25,West,6251,Online Shopper,Lions,P04840,Training Gear,3,132.14,396.42,69,3,4.35,2715.24
26,South,5886,Online Shopper,Bulls,P03565,Jerseys,1,48.11,48.11,335,1,0.3,3723.54
27,South,4828,Casual Fan,Tigers,P02268,Fan Merchandise,5,146.13,730.65,388,5,1.29,2557.53
28,South,6027,Casual Fan,Bulls,P00450,Fan Merchandise,4,116.33,465.32,421,4,0.95,2670.93
29,West,7371,Online Shopper,Bulls,P04062,Accessories,5,142.7,713.5,147,5,3.4,1716.2
30,West,6614,Season Ticket Holder,Tigers,P00183,Accessories,4,25.25,101,317,4,1.26,3807.62
31,North,2184,Casual Fan,Lions,P00847,Jerseys,4,88.1,352.4,339,4,1.18,1718.61
32,North,6478,Online Shopper,Lions,P04745,Fan Merchandise,1,124.3,124.3,310,1,0.32,4407.53
33,West,4763,Casual Fan,Warriors,P01416,Fan Merchandise,5,22.49,112.45,172,5,2.91,3845.16
34,South,1662,Casual Fan,Lions,P03531,Fan Merchandise,1,77.96,77.96,224,1,0.45,2459.24
35,South,6014,Online Shopper,Lions,P00643,Accessories,3,121.68,365.04,56,3,5.36,2916.66
36,North,4712,Season Ticket Holder,Lions,P03415,Footwear,3,16.92,50.76,128,3,2.34,4723.62
37,West,6479,Loyal Fan,Warriors,P01601,Fan Merchandise,3,110.46,331.38,107,3,2.8,2536.84
